# 转录元数据
# 节目: 得到《长谈》第64期（B站转载，UP主：商业成长）
# 标题: 64｜程乐松×脱不花：活得哲学一点
# 嘉宾: 程乐松（北京大学哲学系主任）/ 主持: 脱不花
# 发布: 2026-09-05 10:00 (B站) / 时长: 2h55m58s (10558s)
# 下载: opencli bilibili download BV1B24667EQH (480p, 342MB)
# 音频: ffmpeg 提取 mono 16kHz 128k mp3, 161MB
# 转录: whisper.cpp ggml-large-v3 Metal --vad (silero v6.2.0), 2026-09-11
# 段数: 4466 / 汉字: 51130 / 语速: 291字/min
# 校验源: B站官方中文字幕(4652条, 52591汉字, 亦为ASR产物仅供交叉校验)
[00:00:00 -> 00:00:02] 我总觉得至少中国哲学吧
[00:00:02 -> 00:00:06] 始终要保证有一个对于人的关怀
[00:00:06 -> 00:00:07] 如果我能以比较简单的方式
[00:00:07 -> 00:00:10] 邀请一个人去反思他的生活
[00:00:10 -> 00:00:12] 这难道不是一件好事吗
[00:00:12 -> 00:00:15] 做哲学的人实际上是在精神生活的意义上
[00:00:15 -> 00:00:17] 反复地炒人类生活的冷饭
[00:00:17 -> 00:00:18] 别跟社会要说反了
[00:00:18 -> 00:00:19] 社会也给不了你说法
[00:00:19 -> 00:00:22] 你如果哪一天认为你的内心召唤
[00:00:22 -> 00:00:24] 比吃饭重要得多得多
[00:00:24 -> 00:00:26] 那么就不是内心的召唤
[00:00:26 -> 00:00:27] 那还是利益的算一算
[00:00:27 -> 00:00:29] 很多人是在人间不值得
[00:00:29 -> 00:00:33] 和数我配不上之间反复横跳
[00:00:33 -> 00:00:46] 本期场谈嘉宾是我们的观众呼声一直很高
[00:00:46 -> 00:00:49] 大家一直敦促我去邀请的一位当代学者
[00:00:49 -> 00:00:51] 北京大学哲学系的系主任
[00:00:51 -> 00:00:53] 程乐松老师
[00:00:53 -> 00:00:55] 程乐松老师长期从事道教研究
[00:00:55 -> 00:00:57] 早期道家思想
[00:00:57 -> 00:01:00] 特别是两汉思想史等领域的教学和研究工作
[00:01:00 -> 00:01:02] 除了他的学术成就以外
[00:01:02 -> 00:01:05] 他更因为接地期的毕业致辞
[00:01:05 -> 00:01:06] 和开学典礼的致辞
[00:01:06 -> 00:01:09] 以及在致辞当中表现出来的
[00:01:09 -> 00:01:10] 对当代人精神困境的
[00:01:10 -> 00:01:13] 深刻洞察而广受关注
[00:01:13 -> 00:01:16] 大家认为他是一位具有人文关怀的学者
[00:01:16 -> 00:01:18] 这期长谈我们也非常的幸运
[00:01:18 -> 00:01:20] 长谈播出的当天
[00:01:20 -> 00:01:22] 也就是2026年的8月29号
[00:01:22 -> 00:01:25] 正值程乐松老师的新书《留白》
[00:01:25 -> 00:01:27] 刚刚正式上市
[00:01:27 -> 00:01:29] 所以我也利用了这个交情
[00:01:29 -> 00:01:30] 要求程乐松老师
[00:01:30 -> 00:01:33] 给我们的长谈观众进行了签名
[00:01:33 -> 00:01:36] 所以收看长谈的观众朋友们
[00:01:36 -> 00:01:38] 可以在长谈直接下单
[00:01:38 -> 00:01:40] 购买程乐松老师的新书《留白》
[00:01:40 -> 00:01:42] 而且其中还有相当一部分
[00:01:42 -> 00:01:45] 如果幸运的话会是签名版
[00:01:45 -> 00:01:47] 感谢大家对长谈的支持
[00:01:47 -> 00:01:49] 也感谢程乐松老师
[00:01:49 -> 00:01:51] 你好 欢迎来长谈
[00:01:51 -> 00:01:52] 我是托布花
[00:01:52 -> 00:01:54] 本期长谈我请来了一位
[00:01:54 -> 00:01:56] 特别走红的嘉宾
[00:01:56 -> 00:01:57] 我来请他的时候
[00:01:57 -> 00:01:58] 我的心情非常的复杂
[00:01:58 -> 00:02:00] 因为如果我请他
[00:02:00 -> 00:02:02] 显得有点蹭人家流量
[00:02:02 -> 00:02:03] 但是我不请他
[00:02:03 -> 00:02:05] 好像就显得我没有什么上进心
[00:02:05 -> 00:02:07] 总之就让我欢迎一下
[00:02:07 -> 00:02:09] 我们的北大哲学系的系主任
[00:02:09 -> 00:02:10] 程乐松老师
[00:02:10 -> 00:02:13] 大家好 花总学好 花总也好
[00:02:13 -> 00:02:16] 我真的心情挺复杂的
[00:02:16 -> 00:02:16] 我跟你说
[00:02:16 -> 00:02:18] 我的一个好朋友
[00:02:18 -> 00:02:20] 他们家太太
[00:02:20 -> 00:02:21] 听说我要来长谈
[00:02:21 -> 00:02:23] 真的兴奋了很久
[00:02:23 -> 00:02:25] 他们家太太是你的超级小姐
[00:02:25 -> 00:02:25] 她是为我高兴
[00:02:25 -> 00:02:29] 她觉得她老公的这个哥们
[00:02:29 -> 00:02:30] 终于混整了
[00:02:30 -> 00:02:33] 可以上长谈了
[00:02:33 -> 00:02:34] 谢谢这位用户
[00:02:34 -> 00:02:36] 虽然我现在不知道您的名字
[00:02:36 -> 00:02:37] 谢谢您
[00:02:37 -> 00:02:39] 谢谢您给程老师施加了压力
[00:02:39 -> 00:02:40] 建立了正确的认知
[00:02:40 -> 00:02:45] 其实我自己有的时候
[00:02:45 -> 00:02:46] 看您接受访谈
[00:02:46 -> 00:02:48] 包括就网上也很多人
[00:02:48 -> 00:02:49] 会基于您的一些讲话
[00:02:49 -> 00:02:51] 去写各种各样的内容
[00:02:51 -> 00:02:53] 我一方面看着收获挺大的
[00:02:53 -> 00:02:56] 一方面我也有点好奇
[00:02:56 -> 00:02:59] 就是从去年开始
[00:02:59 -> 00:03:00] 很意外的
[00:03:00 -> 00:03:01] 就不带贬义
[00:03:01 -> 00:03:04] 就是走红
[00:03:04 -> 00:03:06] 出圈
[00:03:06 -> 00:03:07] 这个对您来说
[00:03:07 -> 00:03:11] 有一个什么所谓的心路历程吗
[00:03:11 -> 00:03:11] 其实不是
[00:03:11 -> 00:03:13] 没有什么心路历程可言
[00:03:13 -> 00:03:15] 因为你并没有做这个准备
[00:03:15 -> 00:03:15] 是吧
[00:03:15 -> 00:03:17] 所以你无所谓心路历程
[00:03:17 -> 00:03:18] 只不过是说
[00:03:18 -> 00:03:20] 有些时候人
[00:03:20 -> 00:03:22] 你一旦被关注了以后
[00:03:22 -> 00:03:23] 你可能会产生一些
[00:03:23 -> 00:03:25] 自我认知的偏差
