# 转录元数据（whisper.cpp + VAD 原始输出，未修标点未纠错）
# 节目：帆书视频播客 · 第49期
# 标题：身体出现这些信号，可能是炎症在提醒你！三甲医生教你3个自查方法
# 主播：帆书主播（「范老师」，疑为樊登[?]）｜ 嘉宾：金博医生（三甲医生）
# 平台：B站 https://www.bilibili.com/video/BV1j18i6VEtn/
# 发布日期：2026-08-21 ｜ 时长：17m50s（1070s）｜ 段数：602
# pipeline：opencli bilibili download（绕 B站 412）→ ffmpeg → whisper.cpp / ggml-large-v3 / Metal / -l zh / --vad（silero）
# 校验源：B站官方字幕（opencli bilibili subtitle；ASR 产物自身有少量错误，已甄别标注）
[00:00:00 -> 00:00:03] 大概有四分之一的癌症可能都跟炎症有关系
[00:00:03 -> 00:00:04] 这个疾病一旦发病
[00:00:04 -> 00:00:06] 它的中位生存率的时间大概是9年
[00:00:06 -> 00:00:09] 肥胖症是致癌的非常重要的一个原因
[00:00:09 -> 00:00:12] 至少有13种的癌症跟肥胖是有关系
[00:00:12 -> 00:00:13] 隐匿的炎症是什么呢
[00:00:13 -> 00:00:14] 它指的就是
[00:00:14 -> 00:00:20] 各位好
[00:00:20 -> 00:00:24] 今天我们讲一本跟每一个人和每一个家庭都有关系的书
[00:00:24 -> 00:00:25] 叫做炎症
[00:00:25 -> 00:00:27] 今天请到了我的助讲嘉宾金博医生
[00:00:27 -> 00:00:28] 欢迎您
[00:00:28 -> 00:00:29] 大家好 范老师好
[00:00:29 -> 00:00:32] 医学上有一句俗语叫西医离不开炎
[00:00:32 -> 00:00:34] 中医离不开寒
[00:00:34 -> 00:00:35] 也就是说如果我们能够在生活当中
[00:00:35 -> 00:00:37] 把这个炎症问题给它控制好
[00:00:37 -> 00:00:40] 对我们每个人的健康都是大有弊异的
[00:00:40 -> 00:00:42] 炎症其实就是我们人体免疫系统
[00:00:42 -> 00:00:44] 对于威胁的一种防御反应
[00:00:44 -> 00:00:47] 当然这个威胁一方面是来源于外界
[00:00:47 -> 00:00:48] 比如说细菌 病毒
[00:00:48 -> 00:00:50] 还有一方面可能来源于我们的体内
[00:00:50 -> 00:00:52] 比如我们一些老化的细胞
[00:00:52 -> 00:00:54] 一些代谢的产物
[00:00:54 -> 00:00:56] 都有可能会引发这种炎症
[00:00:56 -> 00:00:58] 当我们身体受到一些伤害和疾病的时候
[00:00:58 -> 00:01:00] 会有四个很典型的表现
[00:01:00 -> 00:01:01] 就是红肿热痛
[00:01:01 -> 00:01:03] 比如我这儿起个痘痘
[00:01:03 -> 00:01:04] 这儿和局部变红
[00:01:04 -> 00:01:07] 这是因为它的血管通透
[00:01:07 -> 00:01:07] 扩张
[00:01:07 -> 00:01:11] 然后肿是因为大量的液体会渗出
[00:01:11 -> 00:01:12] 所以总体来讲
[00:01:12 -> 00:01:15] 炎症是我们自体保护的一个过程
[00:01:15 -> 00:01:17] 炎性的出现并不是一件坏事
[00:01:17 -> 00:01:18] 不是一件坏事
[00:01:18 -> 00:01:21] 它是我们每个人存在于自然界当中的
[00:01:21 -> 00:01:22] 必不可少的一个环节
[00:01:22 -> 00:01:24] 炎症它只负责打扫战场
[00:01:24 -> 00:01:26] 但是由此带来的副反应
[00:01:26 -> 00:01:28] 是可能会损害你的局部的身体
[00:01:28 -> 00:01:31] 如果炎症的战争发生在皮肤上
[00:01:31 -> 00:01:32] 比如长一个痘痘
[00:01:32 -> 00:01:33] 可能就是疼两天
[00:01:33 -> 00:01:34] 发生在关节上
[00:01:34 -> 00:01:35] 可能就是不能动
[00:01:35 -> 00:01:38] 但是如果发生在重要的脏气上就麻烦
[00:01:38 -> 00:01:39] 比如说发生在肺里面
[00:01:39 -> 00:01:43] 会有大量的炎性液体的渗出
[00:01:43 -> 00:01:44] 这个时候肺泡里面就不是空气了
[00:01:44 -> 00:01:46] 它就是产生了很多的液体
[00:01:46 -> 00:01:47] 我们在临床上就叫做白肺
[00:01:47 -> 00:01:48] 肺部就是没有功能
[00:01:48 -> 00:01:50] 而且炎症褪去以后
[00:01:50 -> 00:01:53] 由于炎症的反应
[00:01:53 -> 00:01:55] 肺泡细胞它的弹性会丧失
[00:01:55 -> 00:01:56] 肺会变得纤维化
[00:01:56 -> 00:01:58] 所以正常的唤醒功能也没有
[00:01:58 -> 00:02:00] 要发生在心脏里面更麻烦
[00:02:00 -> 00:02:01] 心肌炎
[00:02:01 -> 00:02:03] 因为它有一个特征叫做功能丧失
[00:02:03 -> 00:02:05] 你说这个心脏如果没有功能
[00:02:05 -> 00:02:06] 那危及生命
[00:02:06 -> 00:02:07] 我们现在生活当中
[00:02:07 -> 00:02:08] 有的时候
[00:02:08 -> 00:02:10] 这个急性炎症并不是那么多
[00:02:10 -> 00:02:13] 我们由于生活方式的不正确
[00:02:13 -> 00:02:14] 身体会出现
[00:02:14 -> 00:02:17] 好多没这么强烈的慢性的炎症
[00:02:17 -> 00:02:18] 它像什么呢
[00:02:18 -> 00:02:19] 如果急性炎症是一场大火的话
[00:02:19 -> 00:02:23] 这种慢性炎症就是一个无声的小火
[00:02:23 -> 00:02:24] 我相信大家现在都特别想问
[00:02:24 -> 00:02:27] 那怎么能够降低体内的炎性环境
[00:02:27 -> 00:02:27] 别着急
[00:02:27 -> 00:02:30] 这个炎症还跟身体内的
[00:02:30 -> 00:02:31] 其他很多疾病都有关系
[00:02:31 -> 00:02:32] 就是有好多的因素
[00:02:32 -> 00:02:34] 容易导致血管内皮的损伤
[00:02:34 -> 00:02:34] 因为
[00:02:34 -> 00:02:35] 它是冠心病的第一步
[00:02:35 -> 00:02:36] 吸烟
