# 转录元数据（whisper.cpp 原始输出，未修标点未纠错）
# 节目：硅谷101 · E247
# 标题：对话盛颖：xAI，Infra的浪漫，SGLang，开源，平权与"甄嬛传"
# 主持：陈茜（开场：泓君）｜ 嘉宾：盛颖（RadixArk 联创&CEO、SGLang 发起人、xAI 前推理团队负责人）
# 来源：Fireside RSS 音频直链（https://www.sv101.net/260）
# 发布日期：2026-08-04 ｜ 时长：1h46m26s（6387s）｜ 段数：5578
# pipeline：yt-dlp → whisper.cpp / ggml-large-v3 / Metal / -l zh / **--vad（silero）**
# 备注：首跑无 VAD 时 whisper 在音乐/过场段陷入循环幻觉（约 00:39 起整段报废），VAD 重跑后全量正常——长音频转写教训已记录
[00:00:00 -> 00:00:04] Hello大家好,欢迎收听硅谷101,我是红军
[00:00:04 -> 00:00:08] 今天我们请到了一位在AI推理领域绕不开的人
[00:00:08 -> 00:00:12] 他是盛影ReddixArc的联合创始人与CEO
[00:00:12 -> 00:00:17] 今年5月,这家公司官宣了Axial领头的1亿美元的种子论融资
[00:00:17 -> 00:00:22] 像英伟达的投资部门AMD,英特尔的CEO陈立武
[00:00:22 -> 00:00:25] 还有OpenAI的联合创始人John Schumann都是他的投资人
[00:00:25 -> 00:00:31] 那ReddixArc它背后是一个叫做Edgeland的开源推理引擎
[00:00:31 -> 00:00:34] 一个从来没有靠市场推广和销售推广过的项目
[00:00:34 -> 00:00:38] 今天就已经跑在了全球数十万张的GPU上
[00:00:38 -> 00:00:43] 每天为谷歌、微软、英伟达、XAI生成数万亿的Token
[00:00:43 -> 00:00:46] 可以说你每天现在用到的AI服务器
[00:00:46 -> 00:00:49] 背后很有可能就有它在工作
[00:00:49 -> 00:00:55] 而Edgeland的起点是2023年盛影在斯坦福读博的最后阶段
[00:00:55 -> 00:01:00] 和LMSIS的社区研究者一起做出来的东西
[00:01:00 -> 00:01:02] 他把它称为自己博士生涯的收入项目
[00:01:02 -> 00:01:07] 那之后他加入XAI为Grok搭建推理系统
[00:01:07 -> 00:01:13] 去年他从XAI出来和朱邦华一起把这个开源项目变成了一家公司
[00:01:13 -> 00:01:19] 那我们这集的节目录制于2026年的6月初
[00:01:19 -> 00:01:22] 当时是ReddixArc刚宣布完融资不久
[00:01:22 -> 00:01:27] 那下面就请收听我们视频主理人陈倩与盛颖的对话
[00:01:27 -> 00:01:29] 这也是一集视频播客
[00:01:29 -> 00:01:33] 大家可以在硅谷101的视频平台上同步收看
[00:01:33 -> 00:01:35] 非常感谢大家的收看
[00:01:35 -> 00:01:36] 非常感谢盛颖
[00:01:36 -> 00:01:37] 欢迎做客硅谷101
[00:01:37 -> 00:01:39] 感谢你们的采访
