# 原始转录（whisper.cpp 本地转写，未润色）
# 节目：屠龙之术（庄明浩单口）
# 单集：智能的下一幕，让人兴奋——73 页 PPT solo
# 平台：小宇宙 · 发布日期：2026-09-15 · 时长：55m21s（3320s）
# Pipeline：whisper.cpp / ggml-large-v3 / Metal / -l zh（scripts/transcribe.py）
# 段数：2009 · 汉字数：12452 · 语速约 225 字/min · 转写日期：2026-09-22（文件时间）
# 注意：中文无自动标点；人名/英文术语/数字有误识别（如 DeepSick→DeepSeek、SOPIC→Anthropic、欧贝青→欧倍青、BAT→bet，修正见同名 polished 稿）
# 版权：节目版权归主理人/制作方所有，仅供个人学习（见 ../../COPYRIGHT.md）

[00:00:00 -> 00:00:03] Hello,大家好,我是明浩,欢迎收听我的播客屠龙之术
[00:00:03 -> 00:00:06] 这是一期我的单口,带PPT
[00:00:06 -> 00:00:10] 针对过去一个季度左右AI行业的一次梳理
[00:00:10 -> 00:00:14] 关注我播客的朋友应该知道
[00:00:14 -> 00:00:18] 我其实本来没有打算做这一个季度的整理
[00:00:18 -> 00:00:21] 因为大概率十月底的狂喜
[00:00:21 -> 00:00:24] 我应该会做一次整理
[00:00:24 -> 00:00:26] 所以这中间间隔的时间不是太长
[00:00:26 -> 00:00:30] 但最近一段时间因为一个朋友找去他们公司
[00:00:30 -> 00:00:33] 做一个演讲有了这次的整理
[00:00:33 -> 00:00:36] 所以索性我就又做了一次PPT的内容
[00:00:36 -> 00:00:39] 在今天的节目开始之前
[00:00:39 -> 00:00:42] 先跟大家聊一件我最近挺在意的事
[00:00:42 -> 00:00:43] 掉头发
[00:00:43 -> 00:00:46] 对,熟悉我的朋友应该知道
[00:00:46 -> 00:00:48] 我最近在打Tier博泰
[00:00:48 -> 00:00:51] 这段时间也出现了掉头发的困扰
[00:00:51 -> 00:00:53] 现在除了关注体重
[00:00:53 -> 00:00:54] 我还得关注一下头发
[00:00:54 -> 00:00:59] 所以最近我真的开始认真研究掉头发这件事情
[00:00:59 -> 00:01:02] 到了自己在意这件事的时候
[00:01:02 -> 00:01:03] 就会很想弄明白
[00:01:03 -> 00:01:07] 银屏强发洗发水里面的成分到底在做什么
[00:01:07 -> 00:01:10] 也正好这期屠龙之术的赞助商
[00:01:10 -> 00:01:12] 就是欧贝青DMG洗发水
[00:01:12 -> 00:01:14] 这个合作算是碰上了
[00:01:14 -> 00:01:17] 我最近正在研究的一个生活课题
[00:01:17 -> 00:01:18] 品牌给它的定位是
[00:01:18 -> 00:01:20] 新一代头皮兴奋剂
[00:01:20 -> 00:01:23] 欧贝青旗下最强配方
[00:01:23 -> 00:01:25] 这里面我想重点跟大家讲的是
[00:01:25 -> 00:01:27] 它的主打成分DMG
