# 《一红16年，干啥啥赚钱？｜屠龙博士创业的秘密！》— 原始转录

> **节目**：课代表立正（B站 UP 主，UID 491306902）对谈 **屠龙博士**
> **来源**：B站 · BV1krM46BEpn · 发布 2026-07-07
> **时长**：1h35m18s（5718 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 被 B站 412 反爬拦截）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 4,502 段 / 32,090 汉字 / 语速 337 字/min
> **校验源**：B站官方字幕（2,860 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:01]  有一个网红偷我们的用户讯息
[00:00:01 --> 00:00:03]  完全没有头绪谁泄露消息
[00:00:03 --> 00:00:04]  团内一个小姑娘突然发朋友圈说
[00:00:04 --> 00:00:06]  咱们公司离职那财务
[00:00:06 --> 00:00:07]  怎么突然换了辆法拉利
[00:00:07 --> 00:00:07]  我就慌人大悟
[00:00:07 --> 00:00:09]  我说这资金是从哪来的
[00:00:09 --> 00:00:10]  然后我们才顺藤摸瓜
[00:00:10 --> 00:00:11]  发现是她泄露的
[00:00:11 --> 00:00:13]  我发现国内有很多土豪
[00:00:13 --> 00:00:13]  文化很低
[00:00:13 --> 00:00:14]  想法很简单
[00:00:14 --> 00:00:15]  又赚了很多钱
[00:00:15 --> 00:00:17]  我看到土豪现象我很兴奋
[00:00:17 --> 00:00:18]  她这么土的人
[00:00:18 --> 00:00:19]  她都挣了很多钱
[00:00:19 --> 00:00:20]  就证明在某些地方
[00:00:20 --> 00:00:22]  她应该挣钱的文化不是很高
[00:00:22 --> 00:00:23]  我认为看竞队
[00:00:23 --> 00:00:24]  对于你体量小的时候
[00:00:24 --> 00:00:25]  是绝对有害的
[00:00:25 --> 00:00:27]  如果你的竞争对手很差
[00:00:27 --> 00:00:27]  那还好
[00:00:27 --> 00:00:28]  大多数情况下
[00:00:28 --> 00:00:28]  你去分析竞队
[00:00:28 --> 00:00:30]  都是你会发现这个人
[00:00:30 --> 00:00:31]  他想法挺努力的
[00:00:31 --> 00:00:32]  就我们老有一个框式
[00:00:32 --> 00:00:33]  正确答案是唯一的
[00:00:33 --> 00:00:34]  所以大家都互相抄
[00:00:34 --> 00:00:35]  最后抄的似乎像
[00:00:35 --> 00:00:36]  你失去了
[00:00:36 --> 00:00:37]  你这个人的特色
[00:00:37 --> 00:00:37]  你这个服务的特色
[00:00:37 --> 00:00:38]  什么叫理论和知识结合
[00:00:38 --> 00:00:39]  实际上来说就是
[00:00:39 --> 00:00:40]  杀红眼
[00:00:40 --> 00:00:41]  杀得一脸水一脸泥的时候
[00:00:41 --> 00:00:42]  别忘了编书教你什么
[00:00:42 --> 00:00:43]  这个事是很重要的
[00:00:43 --> 00:00:44]  我这互聘的公司
[00:00:44 --> 00:00:45]  第一年4000万
[00:00:45 --> 00:00:46]  第二年5000万
[00:00:46 --> 00:00:46]  第三年6000万
[00:00:46 --> 00:00:47]  就是在这趴着
[00:00:47 --> 00:00:48]  对吧
[00:00:48 --> 00:00:48]  到今年我知道
[00:00:48 --> 00:00:50]  肯定能破100
[00:00:50 --> 00:00:50]  董事会都互相抄
[00:00:50 --> 00:00:51]  结果今年一级组织
[00:00:51 --> 00:00:52]  接3400万
[00:00:52 --> 00:00:53]  什么样的女人
[00:00:53 --> 00:00:55]  很快就能找到
[00:00:55 --> 00:00:56]  头衔特别好的男的
[00:00:56 --> 00:00:56]  我让你猜猜
[00:00:56 --> 00:00:57]  你可能猜不出来
[00:00:57 --> 00:00:57]  不知道
[00:00:57 --> 00:00:58]  来试试看
[00:01:00 --> 00:01:01]  Tula老师
[00:01:01 --> 00:01:02]  欢迎来到
[00:01:02 --> 00:01:03]  《穿戴维生》的频道
[00:01:03 --> 00:01:04]  你好
[00:01:04 --> 00:01:05]  咱们上次聊了以后
[00:01:05 --> 00:01:06]  本来我是想跟你去达成
[00:01:06 --> 00:01:07]  一些商业合作
[00:01:07 --> 00:01:08]  然后上你的播客
[00:01:08 --> 00:01:09]  结果聊完了以后
[00:01:09 --> 00:01:10]  我就说不行
[00:01:10 --> 00:01:11]  我要赶紧先采访采访你
[00:01:11 --> 00:01:12]  因为你这个故事
[00:01:12 --> 00:01:13]  实在是惦记起来了
[00:01:13 --> 00:01:15]  我先给频道观众
[00:01:15 --> 00:01:16]  稍稍讲一下
[00:01:16 --> 00:01:17]  就是我今天来访谈的
[00:01:17 --> 00:01:18]  主要目的是什么
[00:01:18 --> 00:01:20]  你是做脑科学的
[00:01:20 --> 00:01:21]  还是后面
[00:01:21 --> 00:01:22]  给美军做脑科学
[00:01:22 --> 00:01:23]  对吧
[00:01:23 --> 00:01:24]  对
[00:01:24 --> 00:01:25]  后来回国以后
[00:01:25 --> 00:01:27]  你在好未来做高管
[00:01:27 --> 00:01:28]  结果那个时候
[00:01:28 --> 00:01:29]  你就开始了
[00:01:29 --> 00:01:29]  像是副业
[00:01:29 --> 00:01:30]  事业的探索
[00:01:30 --> 00:01:32]  然后你很快就创业了
[00:01:32 --> 00:01:33]  而且你的这个创业
[00:01:33 --> 00:01:34]  和这种
[00:01:34 --> 00:01:35]  大家一听
[00:01:35 --> 00:01:36]  一个海归的这种创业
[00:01:36 --> 00:01:36]  很不一样
[00:01:36 --> 00:01:37]  你的创业是一个
[00:01:37 --> 00:01:39]  这种特别江湖的
[00:01:39 --> 00:01:39]  一个创业
[00:01:39 --> 00:01:40]  这么说吧
[00:01:40 --> 00:01:41]  没有江湖的话
[00:01:41 --> 00:01:42]  是搞不定的
[00:01:42 --> 00:01:43]  上次咱们聊天的时候
[00:01:43 --> 00:01:43]  你剧透了一下
[00:01:43 --> 00:01:45]  什么快系开法拉利
[00:01:45 --> 00:01:46]  然后网红小妹
[00:01:46 --> 00:01:47]  带着黑社会大哥
[00:01:47 --> 00:01:48]  过台
[00:01:48 --> 00:01:50]  就各种各样
[00:01:50 --> 00:01:50]  这样的事情
[00:01:50 --> 00:01:53]  包括你还有一些
[00:01:53 --> 00:01:53]  怎么说呢
[00:01:53 --> 00:01:55]  和国内的
[00:01:55 --> 00:01:55]  普遍的
[00:01:55 --> 00:01:56]  无论是这种
[00:01:56 --> 00:01:57]  海归创业者也好
[00:01:57 --> 00:01:59]  还是本地创业者也好
[00:01:59 --> 00:02:00]  很不一样的
[00:02:00 --> 00:02:01]  一些商业理念
[00:02:01 --> 00:02:02]  但是你做很多东西
[00:02:02 --> 00:02:02]  都做得很成功
[00:02:02 --> 00:02:03]  所以说我们想
[00:02:03 --> 00:02:04]  聊一聊你的
[00:02:04 --> 00:02:05]  这个创业故事之后
[00:02:05 --> 00:02:06]  其实我有很多个
[00:02:06 --> 00:02:07]  方法论的问题
[00:02:07 --> 00:02:08]  那我们那些东西
[00:02:08 --> 00:02:09]  到最后再去问
[00:02:09 --> 00:02:10]  我们先听听
[00:02:10 --> 00:02:11]  你的故事吧
[00:02:11 --> 00:02:12]  大家好
[00:02:12 --> 00:02:13]  我是杨颖
[00:02:13 --> 00:02:14]  网上的很多朋友
[00:02:14 --> 00:02:15]  都管我叫屠龙
[00:02:15 --> 00:02:16]  我是这样的
[00:02:16 --> 00:02:18]  我是02年到06年
[00:02:18 --> 00:02:20]  在清华学的生物
[00:02:20 --> 00:02:21]  然后06年呢
[00:02:21 --> 00:02:22]  就出国了
[00:02:22 --> 00:02:23]  在匹兹堡大学
[00:02:23 --> 00:02:23]  读博士
[00:02:23 --> 00:02:25]  我的博士是
[00:02:25 --> 00:02:26]  大脑认知康复
[00:02:26 --> 00:02:28]  就当人有这个
[00:02:28 --> 00:02:29]  大脑的创伤的时候
[00:02:29 --> 00:02:30]  如何康复它
[00:02:30 --> 00:02:32]  是我们系研究的东西
[00:02:32 --> 00:02:33]  但是我研究的呢
[00:02:33 --> 00:02:35]  是当你合资共振
[00:02:35 --> 00:02:36]  有图像的时候
[00:02:36 --> 00:02:37]  你怎么能够通过
[00:02:37 --> 00:02:38]  一些machine learning的方法
[00:02:38 --> 00:02:39]  去解
[00:02:39 --> 00:02:40]  它大脑的认知
[00:02:40 --> 00:02:42]  然后跟哪些行为对应
[00:02:42 --> 00:02:43]  那个时候还没有大模型
[00:02:43 --> 00:02:44]  我们做的都是
[00:02:44 --> 00:02:45]  machine learning那些
[00:02:45 --> 00:02:46]  分类的算法
[00:02:46 --> 00:02:48]  我是12年博士毕业
[00:02:48 --> 00:02:49]  那个时候脑机接口
[00:02:49 --> 00:02:50]  我就很喜欢
