# 《你到底该不该吃早餐?这期告诉你早餐的真相》— 原始转录

> **节目**：鹿哥Gustav（B站知识区 UP 主，UID 419836775）
> **来源**：B站 · BV1HUNk6MEY5 · 发布 2026-07-14
> **时长**：16min56s（1016 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 直连被 B站 412 反爬拦截，bili-cli audio 接口故障）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 645 段 / 5,842 汉字 / 语速 345 字/min
> **校验源**：B站官方字幕（577 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:02]  这是一期告诉你,你到底该不该吃早餐的视频
[00:00:02 --> 00:00:05]  早餐到底是不是一天中最重要的那一餐
[00:00:05 --> 00:00:08]  你妈从小逼你吃早饭,这话到底合不合理
[00:00:08 --> 00:00:11]  要是你的作息里面压根就没有上午这一段
[00:00:11 --> 00:00:13]  那你还需不需要吃早饭
[00:00:13 --> 00:00:17]  相信我,看完这一期,你对早餐会有一个全新的认知
[00:00:17 --> 00:00:20]  关于早餐的一切问题,我都会替你解答清楚
[00:00:20 --> 00:00:21]  那我们现在开始
[00:00:21 --> 00:00:27]  首先,我要跟你讲一本书
[00:00:27 --> 00:00:30]  这本书在中文圈的叫法叫《我不吃早餐》
[00:00:30 --> 00:00:33]  而它正式的名字叫《早餐是危险的一餐》
[00:00:33 --> 00:00:35]  你没有听错,是危险的一餐
[00:00:35 --> 00:00:37]  写这本书的人叫特伦斯·基莱
[00:00:37 --> 00:00:41]  他不是那种卖什么断食客的网红,也不是个名科
[00:00:41 --> 00:00:45]  他就是一个正经的生物化学家,还当过一所大学的校长
[00:00:45 --> 00:00:47]  那就是这么一个搞了一辈子科学的人
[00:00:47 --> 00:00:50]  郑阿巴景德在2016年出了这么一本书
[00:00:50 --> 00:00:54]  书名就直接告诉你,你天天被劝着吃的那顿早饭,很危险
[00:00:54 --> 00:00:57]  那他好端端的一个搞科学的,为什么要写这么一本书呢
